ID,English,Chinese,German,Arabic
10670854,Divine Gate Front Staircase,神之门（门前楼梯平台）,Vordertreppe am göttlichen Portal,اﻟﺩرج اﻷﻣﺎﻣﻲ ﻟﻠﺑﻭاﺑﺔ اﻟﺳﻣﺎوﻳﺔ
10670860,Fog Rift Catacombs,雾谷地下墓地,Nebelriss-Katakomben,ﺳﺭادﻳﺏ ﺻﺩع اﻟﺿﺑﺎب
10670870,Belurat Gaol,贝瑞特监牢,Kerker von Belurat,ﺳﺟﻥ ﺑﻳﻠﻭرات
10670871,Lamenter's Gaol,喟叹监牢,Kerker des Klägers,ﺳﺟﻥ ﻻﻣﻳﻧﺗﺭ
10670880,Dragon's Pit,龙洞,Drachengrube,ﺣﻔﺭة اﻟﺗﻧﻳﻥ
10670900,Moorth Highway,穆斯大道,Straße Moorth,ﻁﺭﻳﻖ ﻣﻭرث اﻟﺳﺭﻳﻊ
10670901,Bear Woods,劳弗下方的熊栖森林,Fuß von Rauh,ﻗﺎﻋﺩة راواه، ﻏﺎﺑﺔ اﻟﺩﺑﺑﺔ
10670902,Northern Nameless Mausoleum,北方无名灵庙,Nördliches namenloses Mausoleum,اﻟﺿﺭﻳﺢ اﻟﺷﻣﺎﻟﻲ اﻟﻣﺟﻬﻭل
10670903,Eastern Nameless Mausoleum,东方无名灵庙,Östliches namenloses Mausoleum,اﻟﺿﺭﻳﺢ اﻟﺷﺭﻗﻲ اﻟﻣﺟﻬﻭل
10670904,Back Gate,幽影城（后门）,Schattenbergfried,ﺣﺻﻥ اﻟﻅﻝ، اﻟﺑﻭاﺑﺔ اﻟﺧﻠﻔﻳﺔ
10670906,Ancient Ruins of Rauh,劳弗古遗迹,Uralte Ruinen von Rauh,أﻧﻘﺎض راوه اﻟﻌﺗﻳﻘﺔ
10670907,Under-Stair,古遗迹（大楼梯下方）,Uralte Ruinen von Rauh,اﻷﻧﻘﺎض اﻟﻌﺗﻳﻘﺔ، أﺳﻔﻝ اﻟﺩرج
10670908,Church of the Bud,花蕾教堂,Kirche der Knospe,ﻛﻧﻳﺳﺔ اﻟﺑﺭﻋﻡ
10670909,Tree-Worship Sanctum,礼树教堂,Refugium des Baumkults,ﻣﺣﺭاب اﺗّﺑﺎع اﻟﺷﺟﺭة
10670910,Hinterland,隐匿之地,Hinterland,اﻷراض اﻟﻧﺎﺋﻳﺔ
10670911,Bear Woods,亚坛的熊栖森林,Altus,أﻟﺗﻭس، ﻏﺎﺑﺎت اﻟﺩﺑﺑﺔ
10670912,Fog Rift Fort,雾谷要塞,Nebelriss-Festung,ﺣﺻﻥ ﺻﺩع اﻟﺿﺑﺎب
10670913,South,穆斯大道（南方）,Straße Moorth,ﻁﺭﻳﻖ ﻣﻭرث اﻟﺳﺭﻳﻊ، اﻟﺟﻧﻭب
10670930,Miyr Hanging Bell,密亚吊钟,Hängende Glocke von Miyr,ﺟﺭس ﻣﺎﻳﺭ اﻟﻣﻌﻠﻖ
10670940,,幽影城（正门）,Schattenbergfried,ﺑﻭاﺑﺔ ﺣﺻﻥ اﻟﻅﻝ اﻟﺧﻠﻔﻳﺔ
10670941,Eingang,,Kirchenbezirk,ﻣﺩﺧﻝ ﻣﻧﻁﻘﺔ اﻟﻛﻧﻳﺳﺔ
10670942,Sunken Chapel,沉水礼拜堂,Versunkene Kapelle,اﻟﻛﻧﻳﺳﺔ اﻟﻐﺎرﻗﺔ
10670943,Tree-Worship Passage,礼树暗道,Passage zum Baumkult,ﻣﻣﺭ اﺗّﺑﺎع اﻟﺷﺟﺭة
10670945,West Rampart,西边城墙,Westlicher Schutzwall,اﻟﺳﻭر اﻟﻐﺭﺑﻲ
10670950,First Floor,保藏库（一楼）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﻁﺎﺑﻖ اﻷول
10670951,Fourth Floor,保藏库（四楼）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﻁﺎﺑﻖ اﻟﺭاﺑﻊ
10670952,Seventh Floor,保藏库（七楼）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﻁﺎﺑﻖ اﻟﺳﺎﺑﻊ
10670953,Dark Chamber Entrance,暗室门前,Eingang zur dunklen Kammer,ﻣﺩﺧﻝ اﻟﻐﺭﻓﺔ اﻟﻣﻅﻠﻣﺔ
10670955,Back Section,保藏库（内区）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﺧﻠﻔﻲ
10670956,Loft,保藏库（阁楼）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﻌﻠﻭي
10670960,Scorpion River Catacombs,蝎河地下墓地,Katakomben am Skorpionsfluss,ﺳﺭادﻳﺏ ﻧﻬﺭ اﻟﻌﻘﺭب
10670961,Darklight Catacombs,驱暗地下墓地,Dunkellichtkatakomben,ﺳﺭادﻳﺏ اﻟﻧﻭر اﻟﻣﻅﻠﻡ
10670970,Bonny Gaol,波尼监牢,Kerker von Bonny,ﺳﺟﻥ ﺑﻭﻧﻲ
10670980,Rivermouth Cave,河尾洞窟,Höhle an der Flussmündung,ﻛﻬﻑ ﻣﺻﺏ اﻟﻧﻬﺭ
